Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
67,98,Univ of Illinois - Chicago,UIC Motorsports,280.83,171.64,85.66,36.66,30,19,25.21,58.22,26.98,61.23,23.53,0,TRUE,TRUE,TRUE,
68,20,Stevens Institute of Technology,Dirty Ducks Racing,280.82,78.1,85.07,69.07,0,16,0,46.97,31.13,0,117.65,0,TRUE,TRUE,TRUE,
69,110,Instituto Tecnologico de Queretaro,Baja SAE ITQ,273.73,107.49,103.5,15,70,18.5,13.8,61.45,32.24,0,62.75,0,TRUE,FALSE,FALSE,
70,137,Lake Superior State Univ,Superior Baja Racing,251.13,115.14,10.5,0,0,10.5,3.29,32.05,37.41,42.4,125.49,0,TRUE,TRUE,TRUE,
71,122,Keimyung University,Speeding,248.95,73.42,112.79,35.79,60,17,25.66,0,35.86,11.9,62.75,0,TRUE,TRUE,TRUE,
72,79,New York University,NYU Tandon Motorsports,244.99,57.53,85.5,15,50,20.5,27.33,0,30.19,0,101.96,0,TRUE,TRUE,FALSE,
73,63,Univ of Wisconsin - Stout,Blue Devil Racing,241.76,78.34,77.15,18.65,40,18.5,32.43,0,32.89,13.02,86.27,0,TRUE,TRUE,TRUE,
74,62,University of Mount Union,Raider Racing Team,238.39,72.57,142.29,61.79,60,20.5,31.89,0,28.78,11.9,23.53,0,TRUE,TRUE,TRUE,
75,75,Northern Illinois Univ,NIU Baja Racing,230.08,99.12,29,5,0,24,13.89,50.77,34.46,0,101.96,0,TRUE,TRUE,FALSE,
76,55,North Carolina State Univ - Raleigh,WM Racing,197.27,73.84,45,15,10,20,47.4,0,26.44,0,78.43,0,TRUE,TRUE,FALSE,
77,35,Johns Hopkins Univ,Blue Jay Racing,193.64,0,193.64,66.14,110,17.5,0,0,0,0,0,0,TRUE,TRUE,TRUE,
78,83,Buffalo State College,Buffalo State Motorsport,157.97,77.39,80.57,30.57,30,20,11.59,44.76,21.05,0,0,0,TRUE,TRUE,TRUE,
79,31,Univ of Notre Dame,Irish Racing,128.45,1.56,126.89,57.89,50,19,0,0,0,1.56,0,0,TRUE,TRUE,TRUE,
