Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
18,19,Univ of Arizona,Baja Wildcat Racing,276.57,144.61,207.12,74.34,100,32.78,61.58,25.76,43.02,14.24,131.96,0,TRUE,TRUE,TRUE,
19,63,Harding Univ,Bison Baja 2,272.1,185.5,158.06,30,90,38.06,49.35,66.02,56.75,13.39,86.6,0,TRUE,TRUE,TRUE,
20,13,New Mexico State Univ,NMSU Motorsports,230.89,148.41,146.99,54.5,60,32.49,62.76,35.41,46.05,4.18,82.47,0,TRUE,TRUE,TRUE,
21,70,Tennessee Tech Univ,TN Tech Baja,221.02,97.31,126.56,39.26,50,37.3,70.25,0,20.24,6.82,123.71,0,TRUE,TRUE,TRUE,
22,33,Utah Valley University,UVU Baja,209.88,127.4,62.85,20.14,20,22.71,48.57,5.5,68.98,4.35,82.47,0,TRUE,TRUE,TRUE,
23,28,Oregon Inst of Tech,Oregon Tech Racing,192.21,105.61,164.78,66.75,70,28.03,48.65,52.96,0,4.01,86.6,0,TRUE,TRUE,TRUE,
24,61,Univ of Nevada - Las Vegas,Rebel Racing,175.47,175.47,230.47,77.31,110,43.16,71.02,0,61.37,43.07,0,0,TRUE,TRUE,TRUE,
25,18,Univ of Maryland - Baltimore County,UMBC Racing,0,0,191.35,71.86,90,29.49,0,0,0,0,0,0,FALSE,FALSE,FALSE,
25,20,Universidad De La Salle Bajio,Felinos,0,0,173.72,49.05,90,34.67,0,0,0,0,0,0,FALSE,FALSE,FALSE,
25,22,Univ of Akron,Zips Baja,0,0,185.65,78.71,70,36.94,0,0,0,0,0,0,FALSE,FALSE,FALSE,
25,26,New York University,NYU Tandon Motorsports,0,0,190.96,67.11,90,33.85,0,0,0,0,0,0,FALSE,FALSE,FALSE,
25,32,California Maritime Academy,California Commodores,0,0,38.12,0,0,38.12,0,0,0,0,0,0,TRUE,FALSE,FALSE,
25,34,San Jose State University,Spartan Racing,0,0,44.51,9.13,0,35.38,0,0,0,0,0,0,FALSE,FALSE,FALSE,
25,48,Univ of New Hampshire,Wildcat Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
25,52,Utah State University,USU Mini Baja,0,0,77.76,22.76,30,25,0,0,0,0,0,0,TRUE,TRUE,TRUE,
25,53,McGill Univ,McGill Baja Racing,0,0,204.63,60.17,110,34.46,0,0,0,0,0,0,TRUE,FALSE,FALSE,
25,65,Univ of Helwan,JAWAD Motorsport,0,0,110.52,41.44,40,29.08,0,0,0,0,0,0,FALSE,FALSE,FALSE,
25,71,Case Western Reserve Univ,CWRU Motorsports,0,0,259.81,86.81,120,53,0,0,0,0,0,0,FALSE,FALSE,FALSE,
