Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
62,101,Univ of Kansas - Lawrence,JMSBaja,283.93,118.66,85.27,45.27,30,10,48.29,37.13,26.24,7,80,0,TRUE,TRUE,TRUE,
63,92,Louisiana State Univ,Baja Bengals,283.76,0,150.43,57.43,70,23,0,0,0,0,133.33,0,TRUE,TRUE,TRUE,
64,65,Univ of Wisconsin - Stout,Blue Devil Racing,277.91,98.86,85.71,17.71,50,18,40.02,0,41.35,17.49,93.33,0,TRUE,TRUE,TRUE,
65,58,Univ of Virginia,Virginia Motorsports,273.96,39.85,127.44,34.44,80,13,17.18,0,22.66,0,106.67,0,TRUE,TRUE,TRUE,
66,122,St Clair County Community College,SC4 Baja,272.87,120.71,152.16,82.16,30,40,43.68,7.33,59.2,10.5,0,0,TRUE,TRUE,TRUE,
67,25,Middle Tennessee State Univ,MTSU motorsports,266.66,37.99,82,15,50,17,37.99,0,0,0,146.67,0,TRUE,TRUE,TRUE,
68,19,Rowan Univ,Rowan Motorsports,264.15,99.55,151.26,82.26,30,39,40.57,0,41.48,17.49,13.33,0,TRUE,TRUE,TRUE,
69,11,Cleveland State Univ,Vikings Racing,254.71,91.17,163.54,85.54,40,38,33.69,13.19,33.79,10.5,0,0,TRUE,TRUE,TRUE,
70,56,North Carolina A & T State Univ,Aggie Racing,254.23,70.18,130.71,31.71,70,29,29.66,0,40.52,0,53.33,0,TRUE,TRUE,TRUE,
71,91,Northern Illinois Univ,Niu Baja,250.85,104.36,133.15,75.15,40,18,38.3,0,59.07,7,13.33,0,TRUE,TRUE,TRUE,
72,47,Mississippi State Univ,MSState Mud Dawgs,245.48,50.39,101.76,48.76,40,13,0,13.02,37.36,0,93.33,0,TRUE,TRUE,TRUE,
73,30,Lipscomb Univ,Lipscomb Motor Sports,236.92,99.73,137.19,65.19,50,22,31.05,0,68.68,0,0,0,TRUE,TRUE,TRUE,
74,14,Univ of Texas - Rio Grande,RGV Baja Racing,227.7,68.37,66,15,20,31,32.24,0,36.13,0,93.33,0,TRUE,TRUE,TRUE,
75,86,Univ of Missouri - Kansas City,UMKC Baja Racing,214.46,0,214.46,90.46,90,34,0,0,0,0,0,0,TRUE,TRUE,TRUE,
76,64,Univ of Tennessee - Martin,SKYHAWK Racing,178.22,66.56,85,15,50,20,54.47,0,12.09,0,26.67,0,TRUE,TRUE,TRUE,
77,36,Wright State Univ,Raider Racers,175.68,72.7,89.65,69.65,0,20,0,1.82,70.88,0,13.33,0,TRUE,TRUE,TRUE,
78,95,Univ of Arkansas - Fayetteville,Full Boar Racing,156.24,40.45,115.79,64.79,30,21,40.45,0,0,0,0,0,TRUE,TRUE,TRUE,
79,31,Millersville Univ of PA,Millersville Baja,147,0,120.33,61.33,30,29,0,0,0,0,26.67,0,TRUE,TRUE,TRUE,
80,39,Oklahoma Christian Univ,Eagle Heavy 1,120.85,42.73,64.79,49.79,0,15,42.73,0,0,0,13.33,0,TRUE,TRUE,TRUE,
81,26,East Carolina Univ,East Carolina,118.59,21.92,30,0,30,0,4.46,17.46,0,0,66.67,0,TRUE,TRUE,TRUE,
82,20,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles BAJA,115.18,0,115.18,44.18,30,41,0,0,0,0,0,0,TRUE,TRUE,TRUE,
83,114,Univ of Missouri,Mizzou Baja Racing,70,0,70,15,40,15,0,0,0,0,0,0,TRUE,FALSE,FALSE,
84,115,Univ of Alabama - Birmingham,Blazer Motorsports,69.63,0,69.63,23.63,30,16,0,0,0,0,0,0,TRUE,FALSE,FALSE,
85,61,New York University,NYU Tandon Motorsports,50,0,50,0,50,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
86,77,Missouri State University,MSU Baja,39,0,39,0,20,19,0,0,0,0,0,0,TRUE,TRUE,TRUE,
87,66,Ohio Northern Univ,Polar Bear Racing,15,0,15,15,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
88,21,Arkansas State Univ,Arkansas State Red wolves,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
88,70,AISSMS College of Engineering,RESONANCE RACING,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
88,74,West Virginia Univ,Mountaineers,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
88,82,Liberty Univ,Liberty University Baja,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
88,83,Instituto Tecnologico de Queretaro,Baja SAE ITQ,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
88,98,Univ of Texas -Tyler,Red Dirt Racing,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
88,103,Univ of Helwan,BHU,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
88,111,Military Technical College,MTC Racing,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
88,124,Univ of Louisville,Louisville SAE Baja,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
