Rank,Car No,School,Team,Overall (1050),Overall Dynamic (300),Overall Static (350),Cost (100),Design (200),Business Presentation (50),Acceleration (75),Land Manuverability (75),Pulling (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Tech (50),Register,Passed Tech
81,20,Middle Tennessee State Univ,Blue Raider Baja ,150.31,0.00,102.31,1.00,101.31,,0.00,0.00,0.00,0.00,48.00,,0.00,,Pass
82,62,Univ of Memphis,Tiger Baja,135.65,83.65,52.00,0.00,52.00,,52.23,0.00,31.42,0.00,0.00,,0.00,,Pass
83,88,Christian Brothers College,PJ cubed,123.65,0.00,123.65,32.92,90.73,,0.00,0.00,0.00,0.00,0.00,,0.00,,
84,65,Krishna Institute of Engrg & Technology,Immortals,116.30,0.00,116.30,76.30,40.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,
85,11,US Air Force Academy,USAF Academy,103.00,0.00,39.00,0.00,39.00,,0.00,0.00,0.00,0.00,64.00,,0.00,,Pass
86,55,Texas A & M - Kingsville,Javalina Engineers,88.13,0.00,88.13,0.00,88.13,,0.00,0.00,0.00,0.00,0.00,,0.00,,
87,12,Manhattan College,Jasper Racing,76.26,0.00,76.26,46.87,29.39,,0.00,0.00,0.00,0.00,0.00,,0.00,,Pass
88,41,ITESM - Campus San Luis Potosi,JUGGERNAUT ,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,
,29,Worcester Polytechnic Inst,WPI SAE,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,30,Univ of Vermont,Catamount Racing ,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,32,Univ of North Carolina - Charlotte,UNCC 49ers ,59.54,0.00,59.54,0.00,59.54,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,34,Universidad Simon Bolivar,Baja SAE USB,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,48,Univ of Calif - Los Angeles,UCLA Racing,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,63,Northwestern Univ,Northwestern Mini Baja,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,81,Univ of Iowa,Hawkeye Motor Sports,65.60,0.00,65.60,0.00,65.60,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,84,Southern Methodist Univ,SMU motorsports ,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,87,James Madison Univ,JMU Mini Baja,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,89,Newark College of Engineering,Garden State Racing,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,96,Louisiana Tech Univ,FreshTrax,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,100,UNEXPO Barquisimeto,GUAROS BAJA TEAM,37.50,0.00,37.50,0.00,37.50,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
