Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
56,27,Western Michigan Univ,Bronco BAJA,105.74,0,68,0,10,58,0,0,0,0,37.74,0,TRUE,TRUE,FALSE,
57,41,Central Michigan Univ,Chippewa Performance,105,0,105,56,0,49,0,0,0,0,0,0,FALSE,FALSE,TRUE,
58,74,Harding Univ,Bison Baja,101,0,101,9,40,52,0,0,0,0,0,0,TRUE,FALSE,TRUE,
59,45,Univ of Pittsburgh - Johnstown,Steel Panther Racing,99.55,0,92,32,50,10,0,0,0,0,7.55,0,TRUE,TRUE,FALSE,No 4WD - 50% Endurance Penalty
60,87,Univ of Cincinnati,Bearcat Baja,91,0,91,33,0,58,0,0,0,0,0,0,FALSE,FALSE,TRUE,
61,72,Bradley Univ,B Squared,88,0,88,15,30,43,0,0,0,0,0,0,FALSE,FALSE,TRUE,
62,69,SUNY - Buffalo,UB Motorsports,79,0,79,11,20,48,0,0,0,0,15.09,-15.09,TRUE,TRUE,FALSE,No 4WD - Dynamics/Endurance Penalty Applied (50% of Maximum)
63,106,Universidade Federal de Pernambuco,Mangue Baja Tecnoferr,74,0,74,15,0,59,0,0,0,0,0,0,TRUE,FALSE,TRUE,
64,67,Lehigh Univ,Lehigh Engineers,70,0,70,0,40,30,0,0,0,0,0,0,TRUE,TRUE,TRUE,
65,75,Lipscomb Univ,Lipscomb Baja,63,0,63,13,0,50,0,0,0,0,0,0,TRUE,FALSE,TRUE,
66,57,Northern Kentucky Univ,Norse Baja,53,0,53,9,20,24,0,0,0,0,0,0,FALSE,FALSE,TRUE,
67,104,Univ of Notre Dame,Irish Racing,51,0,51,11,40,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
68,97,New Jersey Institute of Technology,Highlander racing,49,0,49,14,0,35,0,0,0,0,0,0,FALSE,FALSE,TRUE,
69,38,Lawrence Technological Univ,LTU Baja SAE,45,0,45,2,0,43,0,0,0,0,0,0,FALSE,FALSE,TRUE,
70,50,Universidad Autonoma Estado Mexico,Sara Juana RT,43,0,43,9,0,34,0,0,0,0,0,0,TRUE,FALSE,TRUE,
71,54,Lamar Univ,Baja-ma Mama’s,40,0,40,7,0,33,0,0,0,0,0,0,TRUE,FALSE,TRUE,
72,65,Embry-Riddle Aero Univ - Daytona Beach,ERAU Women’s Baja,21,0,21,11,0,10,0,0,0,0,0,0,TRUE,FALSE,TRUE,
73,68,Wright State Univ,Raider Racing,21,0,21,11,0,10,0,0,0,0,0,0,TRUE,FALSE,TRUE,
74,81,Ferris State University,Ferris State Baja Racing Club,19.55,0,12,7,0,5,0,0,0,0,7.55,0,TRUE,TRUE,FALSE,
75,24,Auburn Univ,Auburn Off Road,17,0,17,7,0,10,0,0,0,0,0,0,FALSE,FALSE,TRUE,
76,111,University of Mount Union,Mount Union,13,0,13,8,0,5,0,0,0,0,0,0,TRUE,FALSE,TRUE,
77,109,Univ of New Hampshire,Wildcats,9,0,9,9,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
78,39,Christian Brothers Univ,Dust Brothers,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
78,77,Univ of Tennessee-Knoxville,UTK Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,
78,103,Prairie View A & M Univ,PVAMU Racing Team,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
78,108,Missouri State University,Bears Baja,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
78,110,Marquette Univ,Marquette Eagle Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,
