Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (200),Business Presentation (50),Acceleration (60),Land Manuverability (60),Pulling (60),Suspension & Traction (60),Endurance Race (400),Event Penalty,Mud Bog (60),Register,Passed Tech
60,19,Southern Illinois Univ - Edwardville,SIUE Cougar Baja ,504.48,175.34,156.17,41.42,114.75,,31.54,48.76,60.00,31.58,172.97,,3.46,,Pass
61,16,Univ of Wisconsin - Milwaukee,UWM Baja ,484.79,185.15,180.72,50.47,130.25,,45.75,20.93,37.00,31.58,118.92,,49.89,,Pass
62,20,Univ of Rochester,YellowJackets ,460.36,168.67,205.20,82.20,123.00,,46.70,50.32,34.77,31.58,86.49,,5.30,,Pass
63,36,New Mexico Inst of Mining & Tech,Dirty Miners,448.60,145.06,184.62,75.12,109.50,,43.64,35.74,12.93,23.68,118.92,,29.07,,Pass
64,90,Univ of Pittsburgh - Johnstown,Steel Panther Racing ,447.33,193.30,27.00,0.00,27.00,,24.81,39.08,35.22,44.33,227.03,,49.86,,Pass
65,70,San Jose State University,Spartan Racing,446.60,142.20,77.37,27.37,50.00,,38.58,0.00,28.98,39.87,227.03,,34.77,,Pass
66,92,Clemson Univ,CU Baja Racing ,446.06,79.57,150.27,46.77,103.50,,27.72,0.00,33.43,18.42,216.22,,0.00,,Pass
67,22,North Carolina A & T State Univ,AGGIE Racing,444.84,157.99,113.88,0.00,113.88,,34.12,48.24,30.31,23.68,172.97,,21.64,,Pass
68,28,Lake Superior State Univ,Off-Road Innovations Limited ,443.00,106.66,152.56,68.56,84.00,,35.17,11.00,9.36,23.68,183.78,,27.45,,Pass
69,59,Iowa State Univ,Cyclone Racing,439.60,121.62,177.44,73.82,103.63,,41.64,0.00,33.88,46.10,140.54,,0.00,,Pass
70,78,Case Western Reserve Univ,Bingham's Best Brand,438.08,134.75,195.22,48.59,146.63,,37.45,1.71,20.51,31.58,108.11,,43.50,,Pass
71,101,Alfred Univ,Saxon Racing ,436.73,152.28,143.91,64.91,79.00,,14.58,37.19,55.06,31.58,140.54,,13.87,,Pass
72,41,Ecole Polytechnique De Montreal,EPM Mud Bees ,433.48,206.62,118.75,0.00,118.75,,50.50,55.16,50.32,23.68,108.11,,26.96,,Pass
73,115,Olivet Nazarene Univ,Tiger Racing,431.89,48.32,156.54,69.41,87.13,,43.06,0.00,0.00,5.26,227.03,,0.00,,Pass
74,61,Baylor Univ,Baylor Baja ,426.45,130.48,123.00,34.63,88.38,,36.87,0.00,38.34,15.79,172.97,,39.48,,Pass
