Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Rock Crawl (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
67,115,University of Mount Union,Raider Racing,319.07,106.04,103.35,40.6,30,32.75,51.46,11.56,43.02,0,109.68,0,TRUE,TRUE,TRUE,
68,104,Univ of Iowa,Hawkeye Motorsports,276.82,69.4,188.07,76.07,70,42,55.17,0,8.95,5.28,19.35,0,TRUE,TRUE,TRUE,
69,116,Olivet Nazarene Univ,ONU Racing,275.21,43.36,44.75,0,20,24.75,10.69,0,9.16,23.51,187.1,0,TRUE,TRUE,TRUE,
70,79,Binghamton Univ,Binghamton Baja,269.8,85.61,113.23,27.73,50,35.5,47.32,0,32.77,5.52,70.97,0,TRUE,TRUE,TRUE,
71,129,Missouri University of Science and Tech,Miner Baja Racing,265.13,127.01,86.5,0,50,36.5,41.36,0,37.29,48.36,51.61,0,TRUE,TRUE,TRUE,
72,12,Laurentian Univ,LUVRC,253.45,57.85,85.93,29.26,40,16.67,0.71,7.72,8.62,40.79,109.68,0,TRUE,TRUE,TRUE,
73,68,Embry-Riddle Aero Univ - Daytona Beach,ERAU Lady Eagles Baja,243.85,57.89,114.99,41.24,40,33.75,44.76,0,9.53,3.6,70.97,0,TRUE,TRUE,TRUE,
74,134,Southern Illinois Univ - Edwardville,Cougar Baja,233.57,56.42,106.19,68.06,0,38.13,39.12,0,8.55,8.75,70.97,0,TRUE,TRUE,TRUE,
75,96,Vellore Institute of Technology,KI Racing,232.73,0,116.6,12,60,44.6,0,0,0,0,116.13,0,TRUE,TRUE,FALSE,
76,40,Vellore Institute of Technology Chennai,TSI,217.95,51.55,153.5,71.25,40,42.25,28.98,0,22.57,0,12.9,0,TRUE,TRUE,FALSE,
77,105,Ferris State University,Brutus,207.44,102.22,105.22,56.22,20,29,17.15,0,36.4,48.67,0,0,TRUE,TRUE,TRUE,
78,25,College of New Jersey,TCNJ MotorLions,200.91,51.9,97.4,0,50,47.4,37.34,0,10.1,4.46,51.61,0,TRUE,TRUE,FALSE,
79,16,Manipal Institute of Tech,Team Manipal Racing,181.57,0,91.25,8,50,33.25,0,0,0,0,90.32,0,TRUE,TRUE,FALSE,
80,73,Ryerson Univ,Ryerson Baja,180.74,45.51,32,12,20,0,36.59,0,8.92,0,103.23,0,TRUE,TRUE,FALSE,
81,42,Universite de Sherbrooke,Sherbrooke Racing Team,176.92,0,99.5,12,50,37.5,0,0,0,0,77.42,0,TRUE,TRUE,FALSE,
82,27,Univ of New Hampshire,UNH Baja,176.84,40.86,129.52,63.27,40,26.25,30.6,0,8.46,1.81,6.45,0,TRUE,TRUE,TRUE,
83,19,Univ of Illinois - Chicago,UIC Motorsports,163.69,61.08,102.61,79.28,0,23.33,51.38,0,9.7,0,0,0,TRUE,TRUE,TRUE,
84,32,Michigan Tech Univ,Blizzard Baja,153.77,26.21,127.57,73.9,30,23.67,17,0,9.21,0,0,0,TRUE,TRUE,TRUE,
85,51,Univ of Notre Dame,Notre Dame Irish Racing,143.73,49.6,94.13,14,40,40.13,40.62,0,8.99,0,0,0,TRUE,TRUE,TRUE,
86,91,Univ of Southern Indiana,Screaming Eagles,140.58,22.64,85.68,24.43,30,31.25,15.14,0,7.5,0,32.26,0,TRUE,TRUE,FALSE,
87,76,Delhi Technological Univ,Deltech Baja,132.5,0,132.5,10,90,32.5,0,0,0,0,0,0,TRUE,FALSE,FALSE,
88,69,Penn State Univ - Altoona,Penn State Motorsports Club,112.57,21.86,52,0,20,32,13.33,0,8.53,0,38.71,0,TRUE,TRUE,TRUE,
89,35,Western Michigan Univ,WMU Baja,103.31,0,77.5,0,50,27.5,0,0,0,0,25.81,0,TRUE,TRUE,FALSE,
90,87,California State Univ - Long Beach,Long Beach Racing,94.26,12.12,56.33,0,20,36.33,3.43,0,8.69,0,25.81,0,TRUE,TRUE,FALSE,
91,58,British Columbia Inst of Tech,BCIT Racing,70.25,0,70.25,5,30,35.25,0,0,0,0,0,0,TRUE,FALSE,FALSE,
92,112,Manhattan College,Jasper Racing,58.25,0,58.25,15,20,23.25,0,0,0,0,0,0,TRUE,FALSE,FALSE,
93,46,Universidad Nacional Aut�noma de M�xico,Puma Off-Road Team,57.15,0,44.25,10,0,34.25,0,0,0,0,12.9,0,TRUE,TRUE,FALSE,
94,88,Wentworth Inst of Tech,Wentworth SAE,43.5,0,43.5,0,20,23.5,0,0,0,0,0,0,TRUE,TRUE,TRUE,
95,92,Fairfield Univ,Fairfield Stags Racing,39.8,0,39.8,0,0,39.8,0,0,0,0,0,0,TRUE,TRUE,FALSE,
96,55,Manipal University,Ingenium,35.67,0,35.67,0,0,35.67,0,0,0,0,0,0,TRUE,FALSE,FALSE,
97,54,Middle Tennessee State Univ,MTSUevp,25,0,25,5,20,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
98,59,Vimal Jyothi Engineering College,INVICTO,6,0,6,6,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,20,Purdue Univ - Northwest,PNW Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,22,Northern Kentucky Univ,Norse Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,31,North Carolina A & T State Univ,Aggie Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,36,Auburn Univ,AU BAJA,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,44,Univ of Windsor,Lancer Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,63,SUNY- Farmingdale,RAM Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,67,Univ of Dayton,Team UD,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,98,Maharashtra Institute of Technology,Team Piranha racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,107,Southern Alberta Inst of Tech,SAIT Baja Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
99,114,City College of New York,Underdog Raceworks,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
