Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
62,84,Pittsburg State University,Gorilla Racing,301.23,76.91,81.46,61.46,20,0,40.11,0,26.59,10.22,142.86,0,TRUE,TRUE,TRUE,
63,82,Univ of Puerto Rico-Mayaquez,RUM Racing Baja SAE,294.57,18.46,140.4,60.56,40,39.84,0,13.88,1.17,3.41,135.71,0,TRUE,TRUE,TRUE,
64,45,George Washington Univ,GW Baja,286.56,67.41,183.44,79.08,60,44.37,53.79,0,0,13.62,35.71,0,TRUE,TRUE,TRUE,
65,66,Stevens Institute of Technology,Dirty Ducks Racing,272.18,64.86,150.18,49.33,50,50.85,25.8,0,8.41,30.65,57.14,0,TRUE,TRUE,FALSE,
66,90,Fairfield Univ,Fairfield University Baja,267.68,58.3,80.81,11,10,59.81,37.61,0,0.26,20.43,128.57,0,TRUE,TRUE,TRUE,
67,62,Cleveland State Univ,Vikings Racing,262.06,137.91,67.01,67.01,0,0,41.87,60.38,8.41,27.24,57.14,0,TRUE,TRUE,TRUE,
68,69,New York University,NYU Tandon Motorsports,254.62,111.95,106.96,31.9,20,55.06,46.68,53.23,1.82,10.22,35.71,0,TRUE,TRUE,TRUE,
69,78,Union College,Union College BAJA Racing,234.86,55.6,90.69,29.88,20,40.81,35.61,0,19.99,0,28.57,60,TRUE,TRUE,FALSE,4WD Bonus
70,14,SUNY - Stony Brook,Stony Brook Motorsports,205.61,0,134.18,35.33,40,58.85,0,0,0,0,71.43,0,TRUE,TRUE,FALSE,
71,116,Purdue Univ - Northwest,PNW Baja Motorsports,200.94,69.26,131.68,20.22,50,61.46,33.95,0,35.31,0,0,0,TRUE,TRUE,TRUE,
72,118,West Virginia Univ,Mountaineers,187.94,29.61,129.76,48.63,40,41.13,16.79,0,2.6,10.22,28.57,0,TRUE,TRUE,TRUE,
73,126,Univ of Illinois - Chicago,UIC Motorsports,178.27,35.35,114.35,37.73,30,46.62,30.26,0,1.69,3.41,28.57,0,TRUE,TRUE,TRUE,
74,22,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,160,0,160,0,90,70,0,0,0,0,0,0,TRUE,FALSE,FALSE,
75,41,King Fahd Univ of Petroleum & Minerals,kfupm racing,156.07,0,98.93,50.26,0,48.67,0,0,0,0,57.14,0,TRUE,FALSE,FALSE,
76,52,Miami Univ,Redhawk Racing,133.4,40.97,78.15,30.07,0,48.08,10.57,0,9.97,20.43,14.29,0,TRUE,TRUE,TRUE,
