Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Rock Crawl (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
61,87,Gonzaga Universtity,Holy Rollers,345.83,106.49,93,0,60,33,10.84,60.37,11.61,23.67,146.34,0,TRUE,TRUE,TRUE,
62,84,California State Univ - Los Angeles,Rugged Eagle Motorsports,334.12,91.26,145.29,75.29,30,40,46.7,0,42.57,1.99,97.56,0,TRUE,TRUE,TRUE,
63,113,Univ of Missouri,Mizzou Baja Racing,326.63,78.95,140.36,68.36,50,22,16.77,0,38.45,23.74,107.32,0,TRUE,TRUE,TRUE,
64,66,Univ of Calif - Irvine,Anteater Racing,323.77,123.01,191,62,90,39,40.69,54.52,10.47,17.34,9.76,0,TRUE,TRUE,TRUE,
65,95,Universidad Autonoma Estado Mexico,Sara Juana RT,320.2,50.63,152.5,88.5,30,34,34.56,0,15.05,1.03,117.07,0,TRUE,TRUE,TRUE,
66,59,Lushan College of GXUST,LS Racing Baja,308.15,0,74,15,40,19,0,0,0,0,234.15,0,TRUE,TRUE,FALSE,
67,26,Vellore Institute of Technology,KI Racing,302.26,95.61,128.6,64.6,50,14,32.31,52.25,7.18,3.87,78.05,0,TRUE,TRUE,TRUE,
68,99,California State Univ - Long Beach,LB Racing,301.13,75.28,128.29,73.29,40,15,19.71,0,36.33,19.24,97.56,0,TRUE,TRUE,TRUE,
69,91,Utah State University,USU Baja,294.26,93.1,123.11,48.11,40,35,39.63,0,46.5,6.97,78.05,0,TRUE,TRUE,TRUE,
70,89,California State Univ - Fresno,Bulldog Racing,285.1,97.73,119.08,69.08,30,20,29.28,45.84,14.67,7.94,68.29,0,TRUE,TRUE,TRUE,
71,25,Univ of Notre Dame,Irish Racing,284.28,44.96,180.78,69.78,90,21,14.31,0,24.75,5.9,58.54,0,TRUE,TRUE,TRUE,
72,69,Univ of Memphis,Tiger Baja,275.97,96.9,62,15,30,17,16.32,46.37,17.88,16.34,117.07,0,TRUE,TRUE,FALSE,
73,35,Ryerson Univ,Ryerson Baja,252.46,85.17,108.75,68.75,40,0,28.01,0,37.17,19.99,58.54,0,TRUE,TRUE,TRUE,
74,117,Univ of Calif - Davis,Baja SAE at UC Davis,244.48,22.47,163.48,58.48,80,25,13.45,0,9.01,0,58.54,0,TRUE,TRUE,TRUE,
75,118,National Inst of Tech Kurukshetra,NITROX,235.31,41.26,155.03,51.03,60,44,0,0,41.26,0,39.02,0,TRUE,TRUE,TRUE,
76,14,Univ of San Diego,Torero Racing,230.29,68.38,74.11,64.11,10,0,32.39,0,32.75,3.24,87.8,0,TRUE,TRUE,TRUE,
77,57,Weber State Univ,Weber State Racing,193.81,23.69,121.34,78.34,30,13,10.43,0,6.11,7.15,48.78,0,TRUE,TRUE,TRUE,
78,130,Eastern Washington Univ,Eastern Motorsports,186.96,103.67,15,15,0,0,18.53,57.97,8.25,18.92,68.29,0,TRUE,TRUE,FALSE,
79,144,Olympic College,Baja Extreme,175.78,100.27,56,15,30,11,28.54,24.67,31.27,15.78,19.51,0,TRUE,TRUE,FALSE,
