Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
42,75,Southern Illinois Univ - Edwardville,Cougar Baja,393.64,246.79,68.59,25.69,0,42.9,50.42,64.4,68.52,63.45,78.26,0,TRUE,TRUE,TRUE,
43,72,New Mexico Inst of Mining & Tech,NMT Baja SAE,389.37,67.08,157.94,22.89,80,55.06,12.13,0,48.2,6.74,104.35,60,TRUE,TRUE,TRUE,4WD Bonus
44,93,Univ of Central Florida,Knights Racing,388.6,99.09,186.03,53.08,90,42.95,36.58,0,62.51,0,43.48,60,TRUE,TRUE,TRUE,4WD Bonus
45,77,Western University,Western Baja SAE,385.22,104.34,115.66,40.58,20,55.08,17.22,47.75,39.37,0,165.22,0,TRUE,TRUE,TRUE,
46,105,Univ of Rochester,Yellowjacket Racing,356.19,3.45,176.21,34.94,80,61.28,3.45,0,0,0,156.52,20,TRUE,TRUE,TRUE,4WD Bonus
47,55,Virginia Military Inst,VMI Baja,338.53,99.36,127,28.98,40,58.02,20.52,0,70,8.83,52.17,60,TRUE,TRUE,TRUE,4WD Bonus
48,95,Univ of Maryland - Baltimore County,UMBC Racing,338.21,0,216.47,84.35,90,42.12,0,0,0,0,121.74,0,TRUE,TRUE,TRUE,
49,68,Michigan State University,MSU Baja Racing,333.85,57.21,109.68,18.9,30,60.78,43.01,0,8.74,5.46,86.96,80,TRUE,TRUE,TRUE,4WD Bonus
50,91,Northeastern Univ,Skunkworks,333.02,98.7,156.06,60.2,60,35.86,48.6,0,34.69,15.4,78.26,0,TRUE,TRUE,TRUE,
51,49,Middle Tennessee State Univ,MTSU motorsports,329.31,97.71,127.25,46.41,20,60.84,34.33,0,63.38,0,104.35,0,TRUE,TRUE,TRUE,
52,104,Univ of Missouri - Kansas City,Roo Racing,311.62,0,198.57,63.57,60,75,0,0,0,0,113.04,0,TRUE,TRUE,TRUE,
53,102,Georgia Southern Univ,Eagle Motorsports,281.45,0,142.32,32.57,50,59.75,0,0,0,0,139.13,0,TRUE,TRUE,TRUE,
54,43,Cincinnati State Technical Comm College,Cincy Baja,274.56,36.49,29.38,7,0,22.38,0,0,36.49,0,208.7,0,TRUE,TRUE,TRUE,
55,25,West Virginia Univ,Mountaineers,269.29,51.18,131.15,40.02,50,41.13,46.97,0,0,4.21,86.96,0,TRUE,TRUE,TRUE,
56,67,South Dakota State Univ,Jackrabbit Baja,256.67,129.06,84.13,14,40,30.13,18.45,33.52,66.2,10.89,43.48,0,TRUE,TRUE,TRUE,
57,88,West Virginia Univ Inst of Tech,Golden Bear Racing,252.88,57.87,64.57,54.57,10,0,37.6,0,20.27,0,130.43,0,TRUE,TRUE,TRUE,
58,56,Old Dominion Univ,Whiskey Throttle Racing,246.39,0,124.65,40.75,40,43.9,0,0,0,0,121.74,0,TRUE,TRUE,TRUE,
59,103,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,245.9,0,245.9,77.68,110,58.22,0,0,0,0,0,0,TRUE,TRUE,TRUE,
60,38,Univ of Illinois - Chicago,UIC Motorsports,223.56,63.04,134.43,27.81,60,46.62,33.31,0,29.73,0,26.09,0,TRUE,TRUE,TRUE,
61,92,Univ of Tennessee -Chattanooga,Racing Mocs,206.49,16.6,129.89,38.92,40,50.97,9.84,0,6.76,0,0,60,TRUE,TRUE,TRUE,4WD Bonus
62,81,Olivet Nazarene Univ,ONU Tiger Racing,206.37,64.29,78.61,8,40,30.61,0,0,64.29,0,43.48,20,TRUE,TRUE,TRUE,4WD Bonus
63,33,Univ of Calif - Los Angeles,Bruin Racing Baja,200.99,0,183.6,44.6,80,59,0,0,0,0,17.39,0,TRUE,TRUE,TRUE,
64,117,New Jersey Institute of Technology,Highlander racing,187.06,0,187.06,61.31,70,55.75,0,0,0,0,0,0,TRUE,TRUE,TRUE,
65,11,Purdue Univ - Northwest,PNW Baja Motorsports,177.64,53.1,98.46,17,20,61.46,25.21,0,23.88,4.01,26.09,0,TRUE,TRUE,TRUE,
66,62,Univ of Tennessee - Martin,Skyhawk Racing,177.18,71.81,79.29,26.07,10,43.22,50.46,0,21.35,0,26.09,0,TRUE,TRUE,TRUE,
67,70,Clemson Univ,Clemson University BAJA SAE,173.38,0,86.42,3.51,30,52.91,0,0,0,0,86.96,0,TRUE,TRUE,TRUE,
68,74,Univ of Kansas - Lawrence,Jayhawk Motorsports Baja,150.9,0,72.64,37.13,0,35.5,0,0,0,0,78.26,0,TRUE,TRUE,TRUE,
69,58,Univ of Southern Indiana,Screaming Eagle Racing,145.52,0,125.52,50.13,30,45.38,0,0,0,0,0,20,TRUE,TRUE,TRUE,4WD Bonus
70,35,Lawrence Technological Univ,Blue Devil Motorsports,144.51,0,144.51,46.06,50,48.45,0,0,0,0,0,0,TRUE,TRUE,TRUE,
71,31,Univ of West Florida,Argo Racing,137.16,0,137.16,66.73,20,50.43,0,0,0,0,0,0,TRUE,TRUE,TRUE,
