Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Weight Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
62,70,Ecole Polytechnique Montreal,PolyMudBees,81.16,0,81.16,46.64,0,34.52,0,0,0,0,0,0,TRUE,TRUE,FALSE,
63,54,Univ of Central Florida,Knights Racing,80.18,0,80.18,80.18,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
64,29,Univ of Notre Dame,Irish Racing,80.02,0,80.02,44.75,0,35.27,0,0,0,0,0,0,TRUE,TRUE,FALSE,
65,97,Yeungnam College of Science & Tech,CR&DE,56.02,0,56.02,37.19,0,18.83,0,0,0,0,0,0,TRUE,TRUE,FALSE,
66,25,Pennsylvania College of Technology,PCT Baja,52.91,0,52.91,52.91,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
67,69,Univ of Michigan - Flint,Vehicle City Baja,49.89,0,49.89,49.89,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
68,57,Grove City College,Grove City Racing,40,0,40,0,40,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
69,63,Penn State Univ - Altoona,Penn State Altoona Motorsports,20,0,20,0,20,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,11,SAE Brasil,SAE Brasil 1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,12,SAE Brasil,SAE Brasil 2,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,13,SAE Brasil,SAE Brasil 3,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,24,Univ of Iowa,Hawkeye Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,36,Alfred Univ,Saxon Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,38,Univ of New Hampshire,UNH Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
