Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension & Traction (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
81,32,ITESM - Campus Toluca,BorregosToluca Baja Racing,245.24,96.91,115,7,80,28,54.14,15.48,27.29,0,33.33,0,TRUE,TRUE,FALSE,
82,82,Buffalo State College,Buffalo State Motorsports,241.58,93.41,56.5,0,30,26.5,42.55,0,23.75,27.12,91.67,0,TRUE,TRUE,TRUE,
83,59,Alfred State College,Pioneer Racing,228.89,105.82,123.07,50.07,50,23,35.67,38.97,23.39,7.79,0,0,TRUE,TRUE,TRUE,
84,44,University of Prince Edward Island,Team 51,223.58,115.92,66,0,40,26,44.57,40.34,22.68,8.32,41.67,0,TRUE,TRUE,FALSE,
85,33,Universidad Del Valle De Mexico Toluca,Linces Off Road,203.83,0,45.5,4,10,31.5,0,0,0,0,158.33,0,TRUE,TRUE,FALSE,
86,31,Univ of Louisville,Speed Motorsports,203.26,48.27,154.99,82.99,30,42,0.19,0,28.71,19.38,0,0,TRUE,TRUE,TRUE,
87,106,Old Dominion Univ,ODU BAJA,197.18,92.54,104.64,80.14,20,4.5,39.89,0,36.19,16.46,0,0,TRUE,TRUE,TRUE,
88,101,Binghamton Univ,Binghamton Baja,197.07,114.74,74,0,40,34,25.41,53.87,25.52,9.93,8.33,0,TRUE,TRUE,TRUE,
89,14,Manhattan College,Jasper Racing,175.07,22.92,152.15,81.82,40,30.33,7.33,0,15.59,0,0,0,TRUE,TRUE,TRUE,
90,69,Union College,Dutchman Racing,171.05,29.81,124.57,57.57,40,27,0,0,13.11,16.7,16.67,0,TRUE,TRUE,TRUE,
91,81,Interamerican Univ of Puerto Rico,Inter Baja Racing,91.24,0,91.24,57.24,20,14,0,0,0,0,0,0,TRUE,TRUE,TRUE,
92,62,Penn State Univ - Altoona,Penn State Altoona Motorsports,66,0,66,2,40,24,0,0,0,0,0,0,TRUE,TRUE,FALSE,
93,17,Alfred Univ,Saxon Racing,53.67,0,37,7,30,0,0,0,0,0,16.67,0,TRUE,TRUE,FALSE,
94,47,Univ of Michigan - Flint,Univ of Michigan - Flint,38.97,10.63,28.33,0,10,18.33,0,0,10.63,0,0,0,TRUE,TRUE,FALSE,
95,46,Univ of Illinois - Chicago,UIC Motorsports,13,0,13,13,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
96,43,Univ of Arkansas - Fayetteville,Full Boar Racing,13,0,13,3,10,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
97,56,Fairfield Univ,Fairfield,10,0,10,0,10,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
98,19,City College of New York,CCNY SAE,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
