Rank,Car No,School,Team,Overall Event,Overall Dynamic,Overall Static,Cost,Design,Sales Presentation,Acceleration,Land Manuverability,Hill Climb,Rock Crawl,Endurance,Tech Penalty,Event Penalty
34,109,Iowa State Univ,Cyclone Off-Road Racing,463.97,176.16,159.24,53.00,50.00,56.24,40.34,55.72,54.64,25.45,128.57,0.00,True,True,True, 
35,60,Tennessee Tech Univ,TN Tech Baja SAE,456.77,95.38,204.25,78.00,60.00,66.25,36.71,0.00,42.76,15.91,157.14,0.00,True,True,True, 
36,70,Grove City College,Grove City Racing,455.22,170.37,92.00,32.00,50.00,10.00,28.17,50.02,57.18,35.00,192.86,0.00,True,True,True, 
37,93,Univ of Arizona,Baja Wildcat Racing,449.58,75.72,181.00,76.00,90.00,15.00,30.38,29.03,16.31,0.00,192.86,0.00,True,True,True, 
38,135,Univ of Central Florida,Knights Racing,446.88,192.81,182.64,79.00,50.00,53.64,45.35,65.76,53.07,28.64,71.43,0.00,True,True,True, 
39,55,North Carolina State Univ - Raleigh,Pack Motorsports Baja SAE,446.13,161.99,177.00,72.00,90.00,15.00,58.49,0.00,43.05,60.45,107.14,0.00,True,True,True, 
40,82,McGill Univ,McGill Baja,436.24,117.38,226.00,56.00,100.00,70.00,55.86,29.26,32.27,0.00,92.86,0.00,True,True,True, 
41,25,Missouri University of Science and Tech,Miner Baja,432.94,75.32,157.62,68.00,40.00,49.62,13.79,0.00,42.44,19.09,200.00,0.00,True,True,True, 
42,50,LeTourneau Univ,LETU Renegade Racing,428.35,156.24,164.97,62.00,40.00,62.97,39.13,60.02,41.18,15.91,107.14,0.00,True,True,True, 
43,105,Fairfield Univ,Fairfield University Offroad Racing,415.01,45.58,112.28,22.00,30.00,60.28,13.68,0.00,31.90,0.00,257.14,0.00,True,True,True, 
44,124,New Jersey Institute of Technology,Highlander racing,411.77,77.45,170.04,50.00,60.00,60.04,35.63,0.00,41.82,0.00,164.29,0.00,True,True,True, 
45,81,Ohio Northern Univ,Polar Bear Racing,399.87,107.59,128.00,63.00,50.00,15.00,48.59,0.00,43.09,15.91,164.29,0.00,True,True,True, 
46,23,College of New Jersey,TCNJ Motorsports,378.47,121.61,114.00,64.00,40.00,10.00,23.06,36.90,42.56,19.09,142.86,0.00,True,True,True, 
47,72,South Dakota State Univ,Desert Hare Off-road,360.95,167.24,108.00,53.00,40.00,15.00,37.73,49.22,51.64,28.64,85.71,0.00,True,True,True, 
48,53,Kansas State Univ,Wildcat Offroad,360.19,174.61,107.00,52.00,40.00,15.00,34.05,49.77,43.07,47.73,78.57,0.00,True,True,True, 
49,80,Cincinnati State Technical Comm College,Cincy Baja,354.74,47.80,92.65,14.00,30.00,48.65,0.00,5.22,42.58,0.00,214.29,0.00,True,True,True, 
50,26,Purdue Univ - Northwest,Purdue NW Baja Racing,353.94,70.65,169.00,29.00,70.00,70.00,28.51,0.00,42.14,0.00,114.29,0.00,True,True,True, 
52,107,Baylor Univ,Baylor Baja,343.38,162.56,159.39,61.00,40.00,58.39,37.10,54.52,42.31,28.64,21.43,0.00,True,True,True, 
