Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (200),Business Presentation (50),Acceleration (75),Land Manuverability (75),Hill Climb (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
87,90,The Petroleum Insitutie,PI Motorsports,11.00,0.00,11.00,11.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,
88,95,Universidad Central de Venezuela,Ultimate Competition Vehicle,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,
,20,Miami Univ,Redhawk Racing,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,23,Kansas State Univ - Salina,Baja Salina,10.00,0.00,10.00,10.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,26,Florida Inst of Tech,Baja Panther,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,29,Univ of Central Florida,Knights Racing,10.00,0.00,10.00,10.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,30,Cleveland State Univ,Cleveland State Viking Racing,6.00,0.00,6.00,6.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,44,Olivet Nazarene Univ,Tiger Racing,7.00,0.00,7.00,7.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,49,Georgia Institute of Technology,GT OFFROAD,14.00,0.00,14.00,14.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,53,Manipal Institute of Tech,Team Manipal Racing,5.00,0.00,5.00,5.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,55,Univ of New Hampshire,UNH Baja,15.00,0.00,15.00,15.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,69,Univ of Alabama - Birmingham,Blazer Motorsports,10.00,0.00,10.00,10.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,72,Mount Union College,UMU Purple Raiders,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,84,Penn State Univ - Berks,Penn State Berks Racing,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
