Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
64,126,Univ of Regina,Cougar Racing,406.46,124.75,81.71,17.71,50,14,38.37,0,48.25,38.14,200,0,TRUE,TRUE,TRUE,
65,56,Ecole Polytechnique Montreal,PolyMudBees,382.89,142.98,176.75,53.75,100,23,48.22,38.25,8,48.51,63.16,0,TRUE,TRUE,TRUE,
66,34,Brigham Young Univ,BYU Baja,379.66,200.79,178.87,61.87,90,27,49.5,56.44,56.25,38.59,0,0,TRUE,TRUE,TRUE,
67,47,Michigan State Univ,MSU Baja,362.61,148.91,182.12,74.12,70,38,62.46,0,48,38.44,31.58,0,TRUE,TRUE,TRUE,
68,29,Baylor Univ,Baylor Baja,362.49,110.31,157.45,53.45,80,24,23.42,40.98,7.75,38.16,94.74,0,TRUE,TRUE,TRUE,
69,39,Oregon Inst of Tech,Oregon Tech Racing,352.26,0,120.68,55.68,30,35,0,0,0,0,231.58,0,TRUE,TRUE,FALSE,
70,106,LeTourneau Univ,Renegade Racing,342.74,144.42,135.16,63.16,40,32,40.94,42.57,16.75,44.17,63.16,0,TRUE,TRUE,TRUE,
71,25,Vellore Institute of Technology,Team Jaabaz,307.58,159.91,242.41,84.41,110,48,42.49,51.47,27.5,38.44,105.26,200,TRUE,TRUE,TRUE,Driving off-site
72,82,Univ of Arizona,Baja Racing Team,306.17,73.11,85.69,42.69,20,23,50.36,0,22.75,0,147.37,0,TRUE,TRUE,FALSE,
73,77,Univ of Calif - Irvine,Anteater Racing,299.14,72.49,131.92,48.92,50,33,36.89,0,19.25,16.35,94.74,0,TRUE,TRUE,FALSE,
74,40,Univ of Colorado - Boulder,CU Boulder,257.4,128.1,129.3,33.3,70,26,48.53,0,25,54.58,0,0,TRUE,TRUE,TRUE,
75,71,Seattle Pacific Univ,SPU Baja,242.3,105.57,84.1,64.1,0,20,33.77,0,33,38.8,52.63,0,TRUE,TRUE,TRUE,
76,89,Weber State Univ,weber racing,238.01,102.75,135.26,71.26,40,24,44.17,1.45,24,33.13,0,0,TRUE,TRUE,TRUE,
77,98,Montana Tech,MTBaja,236.7,94.44,68.57,25.57,30,13,32.64,0,22.75,39.05,73.68,0,TRUE,TRUE,TRUE,
78,62,New Mexico Inst of Mining & Tech,NMT Dirty Miners,210.83,60.67,87,15,60,12,7.38,0,19.5,33.79,63.16,0,TRUE,TRUE,TRUE,
79,74,South Dakota State Univ,Jackrabbit Baja,151.47,29.36,122.11,66.11,30,26,12.36,0,17,0,0,0,TRUE,TRUE,TRUE,
80,15,Boise State Univ,Bleed Blue Racing,137.93,64.13,63.28,20.28,30,13,25.05,9.08,30,0,10.53,0,TRUE,TRUE,TRUE,
81,32,Manipal University,manipal forza x,124.55,0,124.55,75.55,30,19,0,0,0,0,0,0,TRUE,TRUE,FALSE,
82,121,Univ of Illinois - Chicago,UIC Motorsports,122.04,0,122.04,80.04,30,12,0,0,0,0,0,0,TRUE,TRUE,FALSE,
83,148,California State Univ - Fresno,Bulldog Racing,110.78,0,110.78,49.78,50,11,0,0,0,0,0,0,TRUE,FALSE,FALSE,
84,100,Univ of San Diego,Torero Racing,108.24,0,108.24,49.24,40,19,0,0,0,0,0,0,TRUE,FALSE,FALSE,
85,138,Univ of Ottawa,Baja SAE University of Ottawa,100.64,0,100.64,60.64,30,10,0,0,0,0,0,0,TRUE,FALSE,FALSE,
86,93,Colorado State University,Aggies Offroad,84.17,4.5,79.67,59.67,20,0,0,0,4.5,0,0,0,TRUE,TRUE,FALSE,
87,58,Cetys Universidad,CMB Racing,80,0,80,15,40,25,0,0,0,0,0,0,TRUE,FALSE,FALSE,
88,75,Changzhou Vocational Inst of Eng (CZIE),CBT,79.12,0,79.12,79.12,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
