Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Hill Climb (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
43,43,Instituto Tecnologico de Chihuahua,Zarape Racing Team,421.15,104.41,140.00,63.67,60.00,16.33,61.77,0.00,16.21,26.43,176.74,,,Pass
44,39,Arizona State Univ Polytechnic,SunDevil Racing Development,413.44,85.74,216.07,82.74,90.00,43.33,68.01,0.00,17.73,0.00,111.63,,,Pass
45,47,Univ of Arkansas - Fayetteville,Racing Razorbacks,405.79,161.08,151.69,55.69,50.00,46.00,65.06,52.27,16.46,27.29,93.02,,,Pass
46,14,New Mexico Inst of Mining & Tech,Dirty Miners,395.65,99.17,82.53,49.86,0.00,32.67,63.71,0.00,16.21,19.25,213.95,,,Pass
47,27,Franklin W Olin College of Engineering,Phoenix Racing ,389.31,106.35,189.94,62.94,80.00,47.00,64.25,0.00,16.46,25.64,93.02,,,Pass
48,76,Univ of Kansas - Lawrence,KU SAE Baja,376.05,130.81,152.22,58.89,50.00,43.33,65.59,0.00,16.21,49.01,93.02,,,Pass
49,52,Universidad Autonoma Estado Mexico,Sara Juana,361.94,118.41,122.60,71.60,20.00,31.00,64.88,0.00,2.53,51.00,120.93,,,Pass
50,101,San Jose State University,Spartan Racing,340.92,129.65,81.04,41.04,40.00,0.00,65.41,0.00,25.32,38.92,130.23,,,Pass
51,106,Northern Arizona Univ,NAU,340.43,83.92,107.67,4.00,60.00,43.67,55.00,0.00,10.13,18.79,148.84,,,Pass
52,37,Univ of Puerto Rico,RUM Racing Baja,328.92,80.41,99.67,9.00,60.00,30.67,54.03,0.00,1.27,25.11,148.84,,,Pass
53,64,Univ of Nevada - Las Vegas,Rebel Racing,308.55,128.70,58.92,58.92,0.00,0.00,63.33,0.00,12.66,52.71,120.93,,,Pass
54,81,Harding Univ,Bison Baja,284.93,108.40,37.00,0.00,0.00,37.00,68.01,0.00,6.58,33.81,139.53,,,Pass
55,75,ESIA Tlalnepantla,Leones Blancos,277.72,63.77,0.00,0.00,0.00,0.00,60.22,0.00,3.55,0.00,213.95,,,Pass
56,51,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles,275.26,55.36,89.67,0.00,50.00,39.67,54.60,0.00,0.76,0.00,130.23,,,Pass
57,103,Manhattan College,Jasper Racing,272.27,64.66,40.17,0.00,20.00,20.17,57.06,0.00,7.60,0.00,167.44,,,Pass
58,109,Univ of Nebraska - Lincoln,Shake 'N' Bake Racing,271.36,91.03,78.00,6.00,40.00,32.00,67.55,23.48,0.00,0.00,102.33,,,Pass
59,74,Yeungnam College of Science & Tech,YNC Baja SAE Expedition,269.66,94.61,175.05,70.05,70.00,35.00,57.45,10.61,6.84,19.71,0.00,,,Pass
60,82,Univ of Alaska - Anchorage,Midnight Sun Racing ,267.13,83.51,155.71,62.04,60.00,33.67,64.52,0.00,18.99,0.00,27.91,,,Pass
61,108,New Mexico State Univ,NMSU Motorsports II,263.84,124.93,111.00,6.00,60.00,45.00,63.64,0.00,15.19,46.10,27.91,,,Pass
62,15,Univ of Texas - Pan American,UTPA Baja Racing,251.25,0.00,139.62,56.29,50.00,33.33,0.00,0.00,0.00,0.00,111.63,,,Pass
63,71,ITESM - Campus Toluca,BORREGOS TOLUCA ,245.53,93.60,31.00,0.00,0.00,31.00,53.53,0.00,15.95,24.12,120.93,,,Pass
64,102,US Military Academy,West Point Mini Baja,245.14,0.00,87.00,2.00,50.00,35.00,0.00,0.00,0.00,0.00,158.14,,,Pass
65,91,Univ of Tulsa,Tulsa Baja ,240.73,97.39,68.92,48.92,20.00,0.00,52.22,6.82,11.39,26.96,74.42,,,Pass
66,85,Oregon Inst of Tech,Oregon Tech Racing,234.46,74.32,104.33,4.00,60.00,40.33,50.63,0.00,12.15,11.54,55.81,,,Pass
67,86,Univ of Calif - Davis,Davis Baja,224.87,66.73,0.00,0.00,0.00,0.00,62.93,0.00,3.80,0.00,158.14,,,Pass
68,54,Wichita State Univ,Shocker Racing ,217.70,55.89,106.00,0.00,70.00,36.00,55.64,0.00,0.25,0.00,55.81,,,Pass
69,17,Cetys Universidad,Z7 ,216.17,84.29,94.67,12.00,50.00,32.67,58.23,10.61,15.45,0.00,37.21,,,Pass
70,90,Alfred State College,Pioneer Racing,211.69,0.00,118.67,0.00,80.00,38.67,0.00,0.00,0.00,0.00,93.02,,,Pass
71,89,Rayat Bahra Inst Of Eng,Indus Pride,207.96,54.75,116.00,4.00,70.00,42.00,54.75,0.00,0.00,0.00,37.21,,,Pass
72,62,Louisiana State Univ,LSU Tiger Racing,170.62,97.22,73.40,36.40,0.00,37.00,62.24,0.00,16.46,18.52,0.00,,,Pass
73,70,Louisiana Tech Univ,Mud Dawg Racing,166.54,60.04,106.50,0.00,70.00,36.50,60.04,0.00,0.00,0.00,0.00,,,Pass
