Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Hill Climb (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
54,70,Univ of Illinois - Urbana Champaign,Off-road Illini,453.19,206.45,126.74,45.24,50.00,31.50,46.59,65.41,53.53,40.92,120.00,,,Pass
55,17,Lawrence Technological Univ,Blue Devil Motorsports,449.56,187.75,109.81,37.81,50.00,22.00,52.87,36.78,61.99,36.11,152.00,,,Pass
56,34,Univ of Virginia,Virginia Baja Racing,447.45,160.94,118.51,58.51,60.00,0.00,51.49,63.74,45.71,0.00,168.00,,,Pass
57,50,Kansas State Univ,Wildcat Offroad,431.89,185.39,86.50,9.00,50.00,27.50,48.72,47.78,47.49,41.40,160.00,,,Pass
58,100,The Petroleum Insitutie,PI Motorsports,402.97,197.71,125.26,64.26,40.00,21.00,47.18,62.62,51.85,36.06,80.00,,,Pass
59,85,Olin College of Engineering ,Phoenix Racing,396.99,187.67,185.32,58.32,90.00,37.00,52.53,56.87,42.69,35.58,24.00,,,Pass
60,80,SUNY - Farmingdale,ram motorsports,392.58,137.21,95.37,52.87,30.00,12.50,51.65,31.97,21.14,32.45,160.00,,,Pass
61,69,Univ of New Hampshire,Wildcat Racing,386.33,201.28,113.05,60.05,50.00,3.00,48.26,69.07,48.61,35.34,72.00,,,Pass
62,15,Universite Du Quebec a Rimouski,Nordic Wolf,383.99,165.49,74.50,4.00,50.00,20.50,27.51,58.70,47.70,31.58,144.00,,,Pass
63,91,Alfred State College,Pioneer Racing,377.62,76.30,133.32,43.82,70.00,19.50,22.70,6.74,16.19,30.67,168.00,,,Pass
64,68,Univ of Illinois - Chicago,UIC Motorsports,363.01,190.70,108.31,49.31,50.00,9.00,49.31,60.63,39.36,41.40,64.00,,,Pass
65,19,Ryerson Univ,ryerson racing,348.38,87.57,84.81,54.81,30.00,0.00,38.93,0.00,48.64,0.00,176.00,,,Pass
66,14,Univ of Toronto,U of T Baja SAE,333.62,184.62,53.00,15.00,30.00,8.00,44.25,49.16,47.79,43.42,96.00,,,Pass
67,82,Univ of Waterloo,UWaterloo Baja,326.33,172.16,154.17,68.67,50.00,35.50,22.49,58.24,41.72,49.71,0.00,,,Pass
68,52,York College of Pa,Spartan Baja,325.71,103.06,126.65,55.65,50.00,21.00,29.69,3.72,34.60,35.05,96.00,,,Pass
69,25,Alfred Univ,Saxon Racing,313.64,135.14,58.50,8.00,40.00,10.50,21.53,52.48,30.46,30.67,120.00,,,Pass
70,18,SUNY - Stony Brook,Stony Brook Motorsports ,290.55,126.05,84.50,11.00,60.00,13.50,37.59,66.57,21.89,0.00,80.00,,,Pass
71,54,Northwestern Univ,Northwestern Baja,272.55,156.55,76.00,3.00,50.00,23.00,46.26,44.43,52.48,13.38,40.00,,,Pass
72,66,Ohio State Univ,Baja Buckeyes,260.70,108.20,96.50,3.00,70.00,23.50,48.85,0.00,46.54,12.81,56.00,,,Pass
73,60,Univ of Louisville,Speed Motorsports,243.31,0.00,243.31,63.31,140.00,40.00,0.00,0.00,0.00,0.00,0.00,,,Pass
74,59,Instituto Tecnologico de Queretaro,BAJA SAE ITQ,236.97,131.99,96.98,38.98,50.00,8.00,21.32,49.35,25.94,35.38,8.00,,,Pass
75,30,New Jersey Inst\Tech(Newark Coll),Dirt Devils,217.81,38.07,123.74,69.74,30.00,24.00,0.00,9.73,28.34,0.00,56.00,,,Pass
76,94,Geneva College,GT15,195.15,185.15,10.00,10.00,0.00,0.00,23.58,61.54,49.82,50.21,0.00,,,Pass
77,44,McMaster Univ,McMaster Baja Racing,188.56,60.56,128.00,6.00,100.00,22.00,60.56,0.00,0.00,0.00,0.00,,,Pass
78,101,Universidad Panamericana,Panteras UP,165.85,85.35,80.50,9.00,40.00,31.50,27.59,0.00,44.47,13.29,0.00,,,Pass
79,63,Univ of Pittsburgh - Johnstown,Pap and pap Racing,130.75,76.25,38.50,0.00,20.00,18.50,5.54,42.97,27.74,0.00,16.00,,,Pass
80,84,Chitkara Institute of Engineering & Tech,TEAM LAKSHYA,98.48,0.00,98.48,71.98,0.00,26.50,0.00,0.00,0.00,0.00,0.00,,,Pass
81,92,Penn State Univ - Altoona,Penn State Altoona Motorsports,54.50,0.00,54.50,3.00,30.00,21.50,0.00,0.00,0.00,0.00,0.00,,,Pass
82,107,Buffalo State College,Buffalo State Motorsports,49.00,0.00,49.00,9.00,30.00,10.00,0.00,0.00,0.00,0.00,0.00,,,
83,16,Bradley Univ,Bradley University,48.00,0.00,24.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,24.00,,,Pass
84,41,Binghamton Univ,binghamton mini baja,41.00,0.00,41.00,0.00,30.00,11.00,0.00,0.00,0.00,0.00,0.00,,,Pass
85,77,Univ of Ottawa,uOttawa Racing,24.00,0.00,24.00,14.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
86,112,Roger Williams College ,RWU Baja,19.00,0.00,19.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,,,
87,104,Universidad Catolica Andres Bello,BAJA SAE UCAB,13.00,0.00,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,Pass
88,96,Western Carolina Univ,WCU Baja,8.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,Pass
89,78,North Dakota State Univ,Bison Motorsports,3.00,0.00,3.00,3.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,
,29,Univ of Regina,Cougar Motorsports,3.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,32,Wichita State Univ,Shocker Racing,5.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,38,Cairo University,BCURT,6.00,0.00,6.00,6.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,43,Old Dominion Univ,ODU BAJA,9.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,76,George Washington Univ,GW Colonial Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,89,Missouri University of Science and Tech,Miner Baja SAE,15.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,99,Cegep de Sherbrooke,Baja Cegep de Sherbrooke,3.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,102,Univ of Tennessee -Chattanooga,UTC racing mocs,6.00,0.00,6.00,6.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,114,Georgia Institute of Technology,GT Offroad,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
