Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
43,68,Univ of Missouri - Kansas City,UMKC - Baja Racing,419.44,0,228.96,73.96,120,35,0,0,0,0,190.48,0,TRUE,TRUE,TRUE,
44,78,Univ of Central Florida,Knights Racing,400.41,0,219.46,88.21,100,31.25,0,0,0,0,180.95,0,TRUE,TRUE,TRUE,
45,162,Centro Universitario Da FEI,FEI Baja,399.65,0,247.27,92.02,125,30.25,0,0,0,0,152.38,0,TRUE,TRUE,FALSE,
46,101,Kansas State Univ,Wildcat Offroad,393.69,106.93,115.33,2,90,23.33,41.1,64.85,0.97,0,171.43,0,TRUE,TRUE,TRUE,
47,8,North Carolina State Univ - Raleigh,Wolfpack Motorsports,374.05,0,212.15,71.65,110,30.5,0,0,0,0,161.9,0,TRUE,TRUE,TRUE,
48,45,Univ of Illinois - Urbana Champaign,Offroad Illini,373.14,144.44,190.6,59.35,90,41.25,46.54,61.04,5.05,31.81,38.1,0,TRUE,TRUE,TRUE,
49,139,Polytechnique Montr�al,poly mud bees,361.52,0,171.04,76.04,70,25,0,0,0,0,190.48,0,TRUE,TRUE,TRUE,
50,83,Northwestern Univ,Northwestern Motorcats,358.01,139.39,132.9,34.9,70,28,50.12,65.86,7.58,15.84,85.71,0,TRUE,TRUE,TRUE,
51,44,Clarkson University,Golden Knights Racing,357.14,85.86,90.33,3,60,27.33,43.47,0,0.97,41.42,180.95,0,TRUE,TRUE,TRUE,
52,87,St Clair County Community College,SC4 Baja,349.46,173.14,128.7,68.37,30,30.33,29.47,47.57,58.29,37.81,47.62,0,TRUE,TRUE,TRUE,
53,131,Clemson Univ,CUBaja Racing,341.43,0,36.67,0,0,36.67,0,0,0,0,304.76,0,TRUE,TRUE,TRUE,
54,111,Univ of Virginia,Virginia Motorsports,339.62,108.38,155.05,60.55,70,24.5,42.16,66.22,0,0,76.19,0,TRUE,TRUE,TRUE,
55,17,Union College,Dutchman Racing,334.78,102.68,136.87,55.62,50,31.25,11.13,48.68,5.05,37.81,95.24,0,TRUE,TRUE,TRUE,
56,42,Lake Superior State Univ,Superior Racing,331.43,0,150.48,54.48,70,26,0,0,0,0,180.95,0,TRUE,TRUE,TRUE,
57,28,Kettering Univ,Bulldog Racing,329.85,0,167.95,77.95,60,30,0,0,0,0,161.9,0,TRUE,TRUE,TRUE,
58,110,Olin College of Engineering,Olin Baja,328.83,0,157.4,67.15,50,40.25,0,0,0,0,171.43,0,TRUE,TRUE,TRUE,
59,6,Iowa State Univ,Cyclone Racing,319.51,146.3,173.21,59.71,80,33.5,48.15,65.45,0.39,32.31,0,0,TRUE,TRUE,TRUE,
60,37,Universidad Autonoma de Ciudad Juarez,Indios Racing,311,0,158.62,79.62,40,39,0,0,0,0,152.38,0,TRUE,FALSE,FALSE,
61,30,Universidad Autonoma Estado Mexico,Sara Juana RT,310.62,0,139.19,78.86,30,30.33,0,0,0,0,171.43,0,TRUE,TRUE,FALSE,
62,40,ITESM - Campus QRO,Exergia Racing Team,307.62,0,136.19,88.19,30,18,0,0,0,0,171.43,0,TRUE,TRUE,FALSE,
63,46,Lipscomb Univ,Lipscomb Motorsports,301.91,0,82.86,59.11,0,23.75,0,0,0,0,219.05,0,TRUE,TRUE,TRUE,
64,31,Lawrence Technological Univ,Blue Devil Motorsports,301.11,124.34,138.67,10,100,28.67,36.37,56.97,0.97,30.03,38.1,0,TRUE,TRUE,TRUE,
65,70,University of Pretoria,TuksBaja,295.27,0,114.32,51.82,40,22.5,0,0,0,0,180.95,0,TRUE,TRUE,TRUE,
66,98,West Virginia Univ,Mountaineers,289.71,32.19,133.71,49.46,60,24.25,31.03,0,1.17,0,123.81,0,TRUE,TRUE,TRUE,
67,116,Concordia University,Concordia Baja Racing,287.46,32.24,207.6,51.6,120,36,32.24,0,0,0,47.62,0,TRUE,TRUE,TRUE,
68,81,Gonzaga Universtity,Holy Rollers,279.55,0,155.74,56.41,60,39.33,0,0,0,0,123.81,0,TRUE,TRUE,TRUE,
69,99,Geneva College,Geneva College Baja,272.14,0,15,0,0,15,0,0,0,0,257.14,0,TRUE,TRUE,TRUE,
70,106,Boston Univ,BU Baja,270.24,22.06,76.75,6,40,30.75,22.06,0,0,0,171.43,0,TRUE,TRUE,TRUE,
71,109,University of Mount Union,Raider Racing,267.84,0,77.36,34.36,20,23,0,0,0,0,190.48,0,TRUE,TRUE,TRUE,
72,95,Univ of Wisconsin - Milwaukee,UW-Milwaukee Baja SAE,262.71,0,138.9,47.9,60,31,0,0,0,0,123.81,0,TRUE,TRUE,TRUE,
73,75,Western University,Western Baja,259.04,0,78.09,20.76,20,37.33,0,0,0,0,180.95,0,TRUE,TRUE,TRUE,
74,89,Univ of Arkansas - Fayetteville,Full Boar Racing,257.63,0,114.77,54.44,40,20.33,0,0,0,0,142.86,0,TRUE,TRUE,TRUE,
75,19,New Mexico State Univ,NMSU Motorsports,248.39,0,153.15,55.15,70,28,0,0,0,0,95.24,0,TRUE,TRUE,TRUE,
76,73,Virginia Western Comm Coll,VWCC Motorsports,239.89,0,125.6,61.93,40,23.67,0,0,0,0,114.29,0,TRUE,TRUE,TRUE,
77,58,North Carolina A & T State Univ,Aggie Racing,237.33,0,170.66,49.41,90,31.25,0,0,0,0,66.67,0,TRUE,TRUE,TRUE,
78,71,Univ of Ottawa,EH-Spec Racing,218.28,0,103.99,53.49,30,20.5,0,0,0,0,114.29,0,TRUE,TRUE,TRUE,
79,23,Oklahoma Christian Univ,TerReign,216.76,0,102.47,24.8,50,27.67,0,0,0,0,114.29,0,TRUE,TRUE,TRUE,
80,113,Pittsburg State University,Gorilla Racing,210.28,0,95.99,42.99,20,33,0,0,0,0,114.29,0,TRUE,TRUE,FALSE,
81,93,Southern Illinois Univ - Edwardville,Cougar Baja,200.57,21.01,131.94,62.94,40,29,18.49,0,2.53,0,47.62,0,TRUE,TRUE,TRUE,
82,82,Univ of Wisconsin - Platteville,Pioneer Racing,197.25,0,197.25,70.58,100,26.67,0,0,0,0,0,0,TRUE,TRUE,TRUE,
83,53,Univ of Pittsburgh - Johnstown,Steel Panther Racing,196.79,37.78,92.35,62.35,30,0,33.7,0,4.08,0,66.67,0,TRUE,TRUE,TRUE,
84,96,Univ of Calif - Los Angeles,Bruin Racing,175.74,0,175.74,74.74,70,31,0,0,0,0,0,0,TRUE,TRUE,TRUE,
