Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
76,73,Univ of Kansas - Lawrence,JMS Baja,206.23,79.02,72.67,15,40,17.67,0,47.22,0.41,31.39,54.55,0,TRUE,TRUE,FALSE,
77,105,Northern Kentucky Univ,Norse Baja,176.74,107.89,50.67,0,30,20.67,0,22.56,39.72,45.61,18.18,0,TRUE,TRUE,TRUE,
78,61,Instituto Tecnologico de Chihuahua,Panteras Racing Team,173.45,0,173.45,77.45,60,36,0,0,0,0,0,0,TRUE,TRUE,TRUE,
79,56,Oklahoma Christian Univ,Rocky Road Racing,170.58,17.08,117.14,77.14,40,0,12.17,0,0.1,4.81,36.36,0,TRUE,TRUE,FALSE,
80,74,Univ of Evansville,UE BAJA,168.24,0,113.69,52.03,40,21.67,0,0,0,0,54.55,0,TRUE,TRUE,FALSE,
81,126,Murray State Univ,Murray,146.47,26.28,102.01,62.01,40,0,0,0,26.28,0,18.18,0,TRUE,TRUE,FALSE,
82,22,Purdue Univ - Northwest,PNW Motorsports,143.51,0,143.51,73.51,50,20,0,0,0,0,0,0,TRUE,TRUE,FALSE,
83,59,Alfred State College,Pioneer Racing,138.52,0,138.52,58.52,50,30,0,0,0,0,0,0,TRUE,TRUE,TRUE,
84,88,Memorial Univ of Newfoundland,Memorial Baja,135.74,0,135.74,59.74,40,36,0,0,0,0,0,0,TRUE,TRUE,TRUE,
85,85,New Mexico Inst of Mining & Tech,NMT Dirty Miners,127.21,0,72.67,15,20,37.67,0,0,0,0,54.55,0,TRUE,FALSE,FALSE,
86,30,Ryerson Univ,Ryerson Baja,120.78,0,102.6,71.26,10,21.33,0,0,0,0,18.18,0,TRUE,TRUE,TRUE,
87,115,Western Michigan Univ,Bronco Racing,88.52,0.25,88.27,51.6,5,31.67,0,0,0.25,0,0,0,TRUE,TRUE,TRUE,
88,72,Northern Michigan Univ,Wildcat Racing,75.29,0,75.29,75.29,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
89,53,Univ of West Florida,UWF Argonauts,57.33,0,57.33,15,20,22.33,0,0,0,0,0,,TRUE,FALSE,FALSE,
90,91,Middle Tennessee State Univ,MTSU motorsports,54.85,0,36.67,15,0,21.67,0,0,0,0,18.18,0,TRUE,FALSE,FALSE,
91,55,Manipal University,Agni,48.33,0,48.33,15,5,28.33,0,0,0,0,0,,TRUE,FALSE,FALSE,
92,75,Christian Brothers Univ,Baja Blast,45.33,0,45.33,15,20,10.33,0,0,0,0,0,,TRUE,FALSE,FALSE,
93,97,New Mexico State Univ,NMSU Motorsports,25,0,25,15,10,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
94,47,Concordia University,Concordia Baja Racing,25,0,25,15,10,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
95,80,North Carolina State Univ - Raleigh,WM Racing,15,0,15,15,0,0,0,0,0,0,0,,TRUE,FALSE,FALSE,
