Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Rock Crawl (75),Hill Climb (75),Endurance Race (400),Event Penalty,Register,Passed Tech
48,29,Purdue Univ - W Lafayette,Desperado,417.12,165.29,169.48,26.59,110.00,32.89,51.34,59.55,5.95,48.45,82.35,,,Pass
49,15,Western Washington Univ,WWU Racing,410.59,125.80,190.67,59.56,90.00,41.11,59.94,0.00,5.61,60.25,94.12,,,Pass
50,72,California State Univ - Chico,Chico State Racing,410.18,103.09,142.38,69.41,40.00,32.97,37.94,45.42,6.29,13.44,164.71,,,Pass
51,59,Boston Univ,BU Baja Team,402.91,123.35,91.32,62.94,0.00,28.38,46.18,61.74,5.61,9.82,188.24,,,Pass
52,88,Univ of Nevada - Las Vegas,Rebel Racing,399.00,90.49,167.33,57.33,110.00,0.00,34.75,0.00,5.35,50.39,141.18,,,Pass
53,113,Univ of Arizona,University of Arizona Baja Racing ,371.55,75.22,178.68,63.74,70.00,44.94,22.08,40.38,5.18,7.58,117.65,,,Pass
54,14,Vellore Institute of Technology,KI Racing,361.87,91.13,153.09,68.85,50.00,34.24,44.75,22.33,5.78,18.27,117.65,,,Pass
55,90,California State Univ - Long Beach,CSULB Racing,360.31,100.81,106.56,20.92,60.00,25.64,23.74,54.23,6.12,16.72,152.94,,,Pass
56,114,California State Univ - Fullerton,Titan Baja,357.89,119.04,121.20,72.34,40.00,8.86,43.48,54.10,5.78,15.68,117.65,,,Pass
57,66,Itasca Community College,Itasca Racing,348.32,137.51,128.46,58.36,30.00,40.10,34.37,49.11,5.86,48.17,82.35,,,Pass
58,94,Oregon Inst of Tech,Oregon Tech Racing,337.60,92.02,127.93,50.09,40.00,37.84,32.72,0.00,37.42,21.88,117.65,,,Pass
59,69,Colorado School of Mines,Baja Blasters 2015,319.77,86.87,162.31,37.69,90.00,34.62,27.21,45.26,5.61,8.79,70.59,,,Pass
60,97,Wichita State Univ,Shocker Racing,312.89,39.78,178.99,66.29,70.00,42.70,39.78,0.00,0.00,0.00,94.12,,,Pass
61,102,Northern Michigan Univ,wildcat racing,311.94,28.92,83.02,57.28,0.00,25.74,3.58,0.00,5.35,19.99,200.00,,,Pass
62,110,Univ of Texas - San Antonio,Roadrunner Racing,302.67,73.14,170.71,70.25,80.00,20.46,25.93,0.00,19.79,27.42,58.82,,,Pass
